Date,SiteCode,samplenumber,PrecipSampVol_mL,precipamount_cm,HgConcentration_ng_L,Hg_deposition_ug_m2
1/1/93,LKC,2,955.6,0.483,21.24,0.1026
1/8/93,LKC,3,76,0.127,24.3,0.0308
1/13/93,LKC,4,1169,1.016,2.833,0.0287
1/15/93,LKC,5,208,0.127,10.32,0.0131
1/17/93,LKC,6,83.2,0.127,8.637,0.0109
1/18/93,LKC,7,142,0.076,3.812,0.0028
1/22/93,LKC,8,1157,0.889,4.115,0.0365
1/23/93,LKC,9,166,0.127,3.789,0.0048
1/24/93,LKC,10,1140,0.66,9.805,0.0647
1/28/93,LKC,12,70,0.279,6.022,0.0168
1/31/93,LKC,13,1180,1.016,5.906,0.06
2/1/93,LKC,14,278,0.127,6.17,0.0078
2/3/93,LKC,15,363,0.254,17.29,0.0439
2/12/93,LKC,16,1000,1.905,1.913,0.0364
2/13/93,LKC,17,1000,0.533,4.844,0.0258
2/16/93,LKC,18,1176,0.762,7.761,0.0591
2/18/93,LKC,19,250,0.127,9.394,0.0119
2/21/93,LKC,20,246,0.33,8.511,0.028
2/22/93,LKC,21,827,0.381,8.404,0.032
2/23/93,LKC,22,495,0.254,7.924,0.0201
3/6/93,LKC,23,70.6,0.102,12.32,0.0125
3/8/93,LKC,24,472,0.279,12.05,0.0336
3/9/93,LKC,25,255,0.229,7.686,0.0176
3/10/93,LKC,26,1176,0.635,4.895,0.031
3/11/93,LKC,27,374,0.127,16.51,0.0209
3/13/93,LKC,28,1000,2.565,2.458,0.063
3/17/93,LKC,29,1184,0.635,6.357,0.0403
3/21/93,LKC,30,1200,0.711,5.831,0.0414
3/24/93,LKC,31,300,0.127,6.104,0.0077
4/1/93,LKC,32,835,0.508,5.739,0.0291
4/10/93,LKC,33,502,0.203,6.075,0.0123
4/12/93,LKC,34,1191,0.635,3.312,0.021
4/21/93,LKC,35,1195,0.711,10.04,0.0713
4/22/93,LKC,36,1181,1.549,5.543,0.0858
4/23/93,LKC,37,1198,0.737,2.206,0.0162
4/25/93,LKC,38,1186,2.057,17.72,0.3645
5/4/93,LKC,39,135,0.127,17.64,0.0224
5/5/93,LKC,40,1191,1.219,13.81,0.1684
5/6/93,LKC,41,1166,0.584,20.48,0.1196
5/11/93,LKC,42,188,0.102,22.41,0.0228
5/12/93,LKC,43,1018,0.533,51.42,0.2741
5/15/93,LKC,44,697,0.381,20.02,0.0763
5/20/93,LKC,46,1189,1.499,4.555,0.0682
5/20/93,LKC,45,678,0.33,4.173,0.0137
5/24/93,LKC,47,1186,1.676,10.55,0.1769
5/26/93,LKC,48,543,0.33,14.61,0.0482
5/28/93,LKC,49,862,0.508,9.709,0.0493
5/29/93,LKC,50,217,0.152,12.05,0.0183
5/31/93,LKC,51,1196,0.991,10.85,0.1076
6/5/93,LKC,52,1183,1.27,8.923,0.1133
6/8/93,LKC,53,270,0.203,12.09,0.0245
6/9/93,LKC,54,1186,1.93,10.18,0.1966
6/10/93,LKC,55,652,0.279,12.84,0.0358
6/15/93,LKC,56,1185,2.007,24.78,0.4975
6/16/93,LKC,57,92,0.102,9.412,0.0096
6/18/93,LKC,58,1183,1.651,18.78,0.3101
6/21/93,LKC,59,698,0.279,15.2,0.0424
6/22/93,LKC,60,1175,0.711,10.4,0.0739
6/26/93,LKC,61,505,0.254,16.9,0.0429
6/28/93,LKC,62,779,0.356,25,0.089
7/3/93,LKC,63,419,0.203,8.256,0.0167
7/8/93,LKC,64,1177,0.965,20.87,0.2014
7/12/93,LKC,65,1200,1.27,23,0.2921
7/12/93,LKC,66,350,0.152,15.24,0.0231
7/16/93,LKC,67,160,0.076,17.06,0.0129
7/20/93,LKC,68,365,0.279,19.16,0.0534
7/21/93,LKC,69,1181,0.66,15.83,0.1044
7/22/93,LKC,70,1187,1.753,7.015,0.1229
7/23/93,LKC,71,792,0.406,16.21,0.0658
7/26/93,LKC,72,1178,1.905,17.38,0.3312
7/27/93,LKC,73,1183,2.794,10.37,0.2898
7/29/93,LKC,74,1175,1.778,21.28,0.3784
7/30/93,LKC,76,540,0.254,8.443,0.0214
8/3/93,LKC,77,118,0.127,28.8,0.0365
8/4/93,LKC,78,874,0.508,15.25,0.0774
8/7/93,LKC,79,50,0.076,16.28,0.0123
8/8/93,LKC,80,1197,0.737,23.07,0.17
8/10/93,LKC,81,1181,2.184,12.13,0.265
