SITEID,DATEON,DATEOFF,RGPPT,SVOL,SUBPPT,HGCONC,HGDEP ng/g,HgDep ug/g,SAMPLETYPE,QR,NOTES,YRMONTH,DATEMOD
VT99,7/27/04,8/3/04,20.83,230.1,20.83,9.47,197.3,0.1973,W,A,,200408,3/14/05
VT99,8/3/04,8/10/04,71.12,856.7,71.12,8.49,604.09,0.60409,W,B,d,200408,3/14/05
VT99,8/10/04,8/17/04,74.93,934.3,74.93,6,449.58,0.44958,W,B,d,200408,3/14/05
VT99,8/17/04,8/24/04,41.91,485.6,41.91,4.41,185.03,0.18503,W,A,,200408,3/14/05
VT99,8/24/04,8/31/04,106.68,1297.5,106.68,5.98,638.16,0.63816,W,B,d,200408,3/14/05
VT99,8/31/04,9/7/04,0,0,0,-9,0,0,D,A,,200409,3/14/05
VT99,9/7/04,9/14/04,58.42,731.4,58.42,6.67,389.77,0.38977,W,B,m,200409,3/14/05
VT99,9/14/04,9/21/04,5.59,70.9,5.59,19.11,106.82,0.10682,W,A,,200409,3/14/05
VT99,9/21/04,9/28/04,6.1,45.1,6.1,23.86,145.45,0.14545,W,A,,200409,3/14/05
VT99,9/28/04,10/5/04,7.11,63.7,7.11,8.13,57.88,0.05788,W,B,z,200410,7/22/05
VT99,10/5/04,10/12/04,3.05,31.9,3.05,7.77,23.7,0.0237,W,A,,200410,7/22/05
VT99,10/12/04,10/19/04,-9,272.6,22.75,3.14,71.46,0.07146,W,B,mz,200410,7/22/05
VT99,10/19/04,10/26/04,0,0,0,-9,0,0,D,B,z,200410,7/22/05
VT99,10/26/04,11/2/04,8.13,105.9,8.13,7.8,63.42,0.06342,W,B,z,200410,7/22/05
VT99,11/2/04,11/9/04,21.59,262.4,21.59,7.09,153.18,0.15318,W,B,mzh,200411,7/22/05
VT99,11/9/04,11/16/04,2.54,5.6,2.54,6.73,17.1,0.0171,W,B,zi,200411,7/22/05
VT99,11/16/04,11/23/04,12.7,146.2,12.7,3.77,47.98,0.04798,W,B,z,200411,7/22/05
VT99,11/23/04,11/30/04,53.09,603.1,53.09,2.58,136.96,0.13696,W,C,mzu,200411,7/22/05
VT99,11/30/04,12/7/04,36.83,388.4,36.83,3.41,125.84,0.12584,W,B,mz,200412,7/22/05
VT99,12/7/04,12/14/04,56.13,539.7,56.13,2.11,118.78,0.11878,W,B,dmz,200412,7/22/05
VT99,12/14/04,12/21/04,5.33,0.1,5.33,-9,-9,-0.009,W,C,zv,200412,7/22/05
VT99,12/21/04,12/28/04,27.69,284.2,27.69,1.71,47.37,0.04737,W,B,mz,200412,7/22/05
VT99,12/28/04,1/4/05,14.73,186.9,14.73,5.7,83.97,0.08397,W,B,m,200501,8/31/06
VT99,1/4/05,1/11/05,12.19,33.5,12.19,2.84,34.63,0.03463,W,B,z,200501,8/31/06
VT99,1/11/05,1/13/05,2.54,18.9,2.54,2.93,7.44,0.00744,W,C,dzb,200501,8/31/06
VT99,1/13/05,1/18/05,34.04,289.8,34.04,1.66,56.5,0.0565,W,B,z,200501,8/31/06
VT99,1/18/05,1/25/05,7.37,41.6,7.37,4.98,36.68,0.03668,W,C,mzb,200501,8/31/06
VT99,1/25/05,1/25/05,0,-9,0,-9,0,0,D,A,,200501,12/7/05
VT99,1/25/05,2/1/05,1.78,19.1,1.78,3.28,5.83,0.00583,W,C,zb,200501,12/7/05
VT99,2/1/05,2/1/05,0,-9,0,-9,0,0,D,A,,200502,12/7/05
VT99,2/1/05,2/8/05,0,0,0,-9,0,0,D,B,h,200502,12/7/05
VT99,2/8/05,2/15/05,41.91,212.9,41.91,2.53,106.03,0.10603,W,B,dm,200502,8/31/06
VT99,2/15/05,2/22/05,19.56,73.5,19.56,7.27,142.19,0.14219,W,C,mu,200502,8/31/06
VT99,2/22/05,3/1/05,11.43,49.7,11.43,2.99,34.18,0.03418,W,A,,200502,8/31/06
VT99,3/1/05,3/8/05,24.89,163,24.89,5.69,141.64,0.14164,W,B,m,200503,8/31/06
VT99,3/8/05,3/15/05,14.73,93.4,14.73,2.87,42.28,0.04228,W,B,h,200503,8/31/06
VT99,3/15/05,3/22/05,1.27,6.3,1.27,10.69,13.58,0.01358,W,B,zi,200503,12/7/05
VT99,3/22/05,3/29/05,11.43,146.8,11.43,3.26,37.26,0.03726,W,A,,200503,8/31/06
VT99,3/29/05,4/5/05,48.01,654.5,48.01,7.21,346.12,0.34612,W,B,m,200504,8/31/06
