"siteID","date","hgDepositionUGM2","filename"
"LKC",1993-01-01,0.1026,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-01-08,0.0308,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-01-13,0.0287,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-01-15,0.0131,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-01-17,0.0109,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-01-18,0.0028,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-01-22,0.0365,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-01-23,0.0048,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-01-24,0.0647,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-01-28,0.0168,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-01-31,0.06,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-02-01,0.0078,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-02-03,0.0439,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-02-12,0.0364,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-02-13,0.0258,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-02-16,0.0591,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-02-18,0.0119,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-02-21,0.028,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-02-22,0.032,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-02-23,0.0201,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-03-06,0.0125,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-03-08,0.0336,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-03-09,0.0176,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-03-10,0.031,"PMRC Wet Deposition Hg 1999-2003"
