"date","siteID","sampleNumber","precipSampVolML","precipAmountCM","hgConcentrationNGL","hgDepositionUGM2","filename"
1993-01-01,"LKC",2,955.6,0.483,21.24,0.1026,"PMRC Wet Deposition Hg 1999-2003"
1993-01-08,"LKC",3,76,0.127,24.3,0.0308,"PMRC Wet Deposition Hg 1999-2003"
1993-01-13,"LKC",4,1169,1.016,2.833,0.0287,"PMRC Wet Deposition Hg 1999-2003"
1993-01-15,"LKC",5,208,0.127,10.32,0.0131,"PMRC Wet Deposition Hg 1999-2003"
1993-01-17,"LKC",6,83.2,0.127,8.637,0.0109,"PMRC Wet Deposition Hg 1999-2003"
1993-01-18,"LKC",7,142,0.076,3.812,0.0028,"PMRC Wet Deposition Hg 1999-2003"
1993-01-22,"LKC",8,1157,0.889,4.115,0.0365,"PMRC Wet Deposition Hg 1999-2003"
1993-01-23,"LKC",9,166,0.127,3.789,0.0048,"PMRC Wet Deposition Hg 1999-2003"
1993-01-24,"LKC",10,1140,0.66,9.805,0.0647,"PMRC Wet Deposition Hg 1999-2003"
1993-01-28,"LKC",12,70,0.279,6.022,0.0168,"PMRC Wet Deposition Hg 1999-2003"
1993-01-31,"LKC",13,1180,1.016,5.906,0.06,"PMRC Wet Deposition Hg 1999-2003"
1993-02-01,"LKC",14,278,0.127,6.17,0.0078,"PMRC Wet Deposition Hg 1999-2003"
1993-02-03,"LKC",15,363,0.254,17.29,0.0439,"PMRC Wet Deposition Hg 1999-2003"
1993-02-12,"LKC",16,1000,1.905,1.913,0.0364,"PMRC Wet Deposition Hg 1999-2003"
1993-02-13,"LKC",17,1000,0.533,4.844,0.0258,"PMRC Wet Deposition Hg 1999-2003"
1993-02-16,"LKC",18,1176,0.762,7.761,0.0591,"PMRC Wet Deposition Hg 1999-2003"
1993-02-18,"LKC",19,250,0.127,9.394,0.0119,"PMRC Wet Deposition Hg 1999-2003"
1993-02-21,"LKC",20,246,0.33,8.511,0.028,"PMRC Wet Deposition Hg 1999-2003"
1993-02-22,"LKC",21,827,0.381,8.404,0.032,"PMRC Wet Deposition Hg 1999-2003"
1993-02-23,"LKC",22,495,0.254,7.924,0.0201,"PMRC Wet Deposition Hg 1999-2003"
1993-03-06,"LKC",23,70.6,0.102,12.32,0.0125,"PMRC Wet Deposition Hg 1999-2003"
1993-03-08,"LKC",24,472,0.279,12.05,0.0336,"PMRC Wet Deposition Hg 1999-2003"
