"bandNum","date","status","age","sex","time","loc","cp","bp","wg","wt","hgBloodID","species","hgID","tissueType","hgLevel","mehgLevel","hgLab"
"1801",2006-06-10,"1","6","5",720,"MANS","2","0",89,31.1,"B06.011","BITH","B06.011","blood",0.0546,NA,"TX"
"122180064",2000-06-27,"2","6","4",2020,"MANS","3","0",93.5,28.3,"B00.037","BITH","B00.037","blood",0.203,NA,"ME"
"122180064",2001-06-07,"2","6","4",2300,"MANS","3","0",93,27.7,"B01.001","BITH","B01.001","blood",0.153,0.148,"TX"
"122180064",2002-06-19,"2","6","4",1100,"MANS","0","1",92.5,26,"B02.058","BITH","B02.058","blood",0.179,NA,"TX"
"122190006",2000-06-08,"2","6","4",1030,"MANS","3","0",94,27.7,"B00.038","BITH","B00.038","blood",0.145,NA,"ME"
"122190030",2000-07-13,"2","6","4",2000,"OCTA","2","0",92,29.5,"B00.039","BITH","B00.039","blood",0.109,0.0897,"TX"
"122190043",2001-06-11,"2","6","4",500,"OCTA","3","0",92.5,NA,"B01.005","BITH","B01.005","blood",0.0705,0.0901,"TX"
"122190046",2000-06-27,"1","5","4",1040,"MANS","3","0",89,29.3,"B00.002","BITH","B00.002","blood",0.074,NA,"ME"
"122190050",2000-07-06,"1","5","4",500,"MANS","3","0",89,25.7,"B00.005","BITH","B00.005","blood",0.059,NA,"ME"
"122190051",2000-07-06,"1","6","4",710,"MANS","3","0",93.5,26.3,"B00.006","BITH","B00.006","blood",0.074,0.0682,"TX"
"122190051",2002-06-18,"2","6","4",2000,"MANS","3","0",93,29.1,"B02.057","BITH","B02.057","blood",0.0596,NA,"TX"
"122190052",2000-07-24,"1","4","0",2230,"MANS",NA,NA,83,26.4,"B00.007","BITH","B00.007","blood",NA,NA,"TX"
"122190053",2000-07-24,"1","6","4",2230,"MANS","1","0",93,28,"B00.008","BITH","B00.008","blood",0.06,0.0502,"TX"
"122190054",2000-07-25,"1","6","4",740,"MANS","2","0",92.5,26.7,"B00.009","BITH","B00.009","blood",0.0586,0.0317,"TX"
